listNum,G2,R3,R1,CrB,R2,G1,CrA,R4
1,left,right,right,left ,right,left,right,left 
2,left,right,right,left ,right,left,right,left 
3,right,left,right,left ,left,right,right,left 
4,right,left,right,left ,left,right,right,left 
5,left,right,right,left ,right,left,right,left 
6,left,right,right,left ,right,left,right,left 
7,right,left,right,left ,left,right,right,left 
8,right,left,right,left ,left,right,right,left 
9,right,left,left,right,left,right,left,right
10,right,left,left,right,left,right,left,right
11,left,right,left,right,right,left,left,right
12,left,right,left,right,right,left,left,right
13,right,left,left,right,left,right,left,right
14,right,left,left,right,left,right,left,right
15,left,right,left,right,right,left,left,right
16,left,right,left,right,right,left,left,right
