subjectNum,age,gender,R1,G1,CrA,R4,G2,R3,R2,CrB,prefam,piggyback,order 
1,4.42,M,0,1,0,1,0,1,1,1,Y,N,1
2,5.84,F,1,1,0,1,1,1,0,1,Y,N,1
3,4.11,F,0,1,1,1,1,0,1,1,Y,N,1
4,4.27,M,1,0,1,1,0,1,1,0,Y,N,1
5,4.73,F,0,0,0,0,1,1,0,0,Y,N,1
6,3.94,F,0,1,0,1,0,0,1,1,Y,N,1
7,3.27,F,0,1,1,0,1,1,1,1,Y,N,1
8,4.1,M,0,1,1,1,0,0,0,1,Y,N,1
9,5.53,F,1,1,1,1,0,1,1,0,Y,N,1
10,5.07,M,1,1,0,1,1,1,0,0,Y,N,1
11,5.36,F,1,1,1,1,0,1,0,1,Y,N,1
12,5.31,F,1,0,1,1,0,1,0,1,Y,N,1
13,5.37,M,1,1,1,1,1,1,1,0,Y,N,1
14,5.19,M,1,1,1,1,1,1,0,1,Y,N,1
15,5.56,F,1,1,1,1,0,0,0,1,Y,N,1
16,3.66,M,0,1,0,1,0,1,0,1,Y,N,1
18,4.5,F,1,0,1,1,0,1,0,0,Y,N,1
19,4.57,M,1,1,0,0,1,0,0,0,Y,N,1
20,4.68,M,1,1,1,0,0,1,0,1,Y,N,1
21,3.85,M,0,0,0,1,1,0,0,1,Y,N,1
22,3.41,M,0,1,0,1,0,1,1,0,Y,N,1
23,5.66,M,1,1,1,1,1,1,1,1,Y,N,1
24,4.07,F,1,1,1,1,0,0,1,0,Y,N,1
25,4.54,F,0,1,0,1,0,1,0,1,Y,N,1
26,4.54,F,0,1,0,1,0,1,1,0,Y,N,1
27,5.62,M,1,1,1,1,0,0,0,0,Y,N,1
28,3.29,M,0,1,0,1,0,1,1,1,Y,N,1
29,3.76,M,0,1,0,1,1,0,1,1,Y,N,1
30,5.02,F,1,1,1,1,0,1,0,1,Y,N,1
31,4.54,F,1,1,1,1,0,1,0,1,Y,N,1
32,4.52,F,0,1,0,1,0,1,0,1,Y,N,1
33,3.95,F,1,0,1,1,1,1,0,0,Y,N,1
34,3.56,F,0,1,1,1,0,1,0,1,Y,N,1
35,3.6,M,0,1,0,1,0,1,0,0,Y,N,1
37,3.69,M,0,1,1,1,1,0,1,0,Y,N,1
38,4.55,F,1,1,1,1,1,1,0,0,Y,N,1
39,3.99,M,0,1,1,1,0,0,0,1,Y,N,1
40,4.28,F,0,1,1,1,0,1,0,0,N,N,1
41,3.4,F,1,0,1,1,0,1,0,1,N,N,1
42,4.63,M,0,0,1,1,0,1,0,0,N,N,1
43,5.35,M,0,1,0,1,1,0,1,0,N,N,1
44,4.08,M,1,1,0,1,0,0,0,1,N,N,1
45,3.78,F,1,1,1,1,0,0,1,0,N,N,1
46,5.33,F,0,1,0,1,0,1,0,1,N,N,1
47,3.99,F,0,1,1,1,1,0,1,0,N,N,1
48,3.49,F,0,0,0,1,0,1,1,1,N,Y,2
49,5.88,M,1,1,1,1,1,0,1,0,N,Y,2
50,4.02,F,0,0,0,1,0,1,1,1,N,Y,2
51,4.62,F,0,0,0,1,1,1,0,1,N,Y,2
52,3.42,M,0,1,1,1,1,0,0,1,N,Y,2
53,4.01,F,0,1,0,1,1,0,1,1,N,Y,2
54,3.34,M,0,1,1,1,0,1,0,1,N,Y,2
55,5.11,F,0,1,0,1,1,1,0,0,N,Y,2
56,4.6,F,0,0,1,1,1,0,0,1,N,Y,2
57,4.6,M,0,0,0,1,0,0,1,0,N,Y,2
58,3.45,M,1,0,0,1,0,1,1,1,N,N,2
59,3.12,M,0,1,0,1,0,1,0,1,N,N,2
60,5.19,F,1,1,0,0,1,1,0,1,N,Y,2
61,5.31,F,1,1,0,1,1,1,1,1,N,Y,2
62,5.33,F,0,1,1,1,1,0,0,1,N,Y,2
63,5.33,F,1,1,0,1,1,0,0,1,N,Y,2
64,4.5,M,0,1,1,1,1,1,1,0,N,N,2
65,4.61,F,1,1,1,1,1,1,1,0,N,N,2
66,5.91,M,1,0,1,0,1,1,1,0,N,Y,2
67,5.17,M,1,1,1,1,0,0,0,0,N,Y,2
